0,1,2,3,4,5,6,7,8,9
"('5 <= 0.00', -0.030783487684381067)","('38 <= 0.00', 0.019468420052522174)","('49 <= 0.00', 0.01930011818445814)","('12 <= 0.00', 0.019037464800028145)","('32 <= 0.00', 0.018636764191898882)","('59 <= 0.00', 0.017352833928507776)","('39 <= 0.00', 0.01665213667735448)","('0 <= 0.00', 0.015945410460128474)","('21 <= 0.00', 0.015886409631984667)","('52 <= 0.00', -0.014640639329058423)"
"('6 <= 0.00', 0.02701683293454874)","('31 <= 0.00', 0.021796933465277685)","('32 <= 0.00', -0.019376962009576754)","('7 <= 0.00', -0.01910967849022546)","('25 <= 0.00', 0.018367421462990356)","('49 <= 0.00', 0.017838942209169498)","('44 <= 0.00', -0.017251895114772053)","('4 <= 0.00', -0.01626365347786192)","('42 <= 0.00', -0.015438096883178268)","('23 <= 0.00', -0.014535769149676107)"
"('13 <= 0.00', -0.032464030524430476)","('40 <= 0.00', -0.026165564395937486)","('41 <= 0.00', -0.021764792738600856)","('49 <= 0.00', 0.01835984232827226)","('23 <= 0.00', 0.01673453319788374)","('25 <= 0.00', 0.014269270393792895)","('46 <= 0.00', -0.013469327477557297)","('34 <= 0.00', 0.013216746794967276)","('0 <= 0.00', -0.012453177570599269)","('29 <= 0.00', -0.011853625568290163)"
"('17 <= 0.00', 0.017976418743017867)","('27 <= 0.00', -0.01730550180390176)","('14 <= 0.00', 0.01726814997497557)","('29 <= 0.00', -0.01631507403640369)","('36 <= 0.00', 0.01583503812179141)","('44 <= 0.00', 0.015606576852217863)","('24 <= 0.00', -0.014882652572225031)","('16 <= 0.00', -0.014167251060804128)","('5 <= 0.00', -0.013056345244406893)","('20 <= 0.00', 0.012916203419548928)"
"('0 <= 0.00', 0.025096414031309924)","('16 <= 0.00', 0.02182733482249143)","('22 <= 0.00', 0.02099172921008431)","('7 <= 0.00', -0.018824889537612462)","('33 <= 0.00', 0.01868451151700488)","('50 <= 0.00', 0.01637163029036463)","('68 <= 0.00', -0.016275219964596337)","('1 <= 0.00', -0.01409584220077743)","('25 <= 0.00', -0.013886952177334185)","('42 <= 0.00', 0.013247227466379189)"
"('7 <= 0.00', -0.027761428651329453)","('10 <= 0.00', 0.02278007071836227)","('26 <= 0.00', 0.021715564382975366)","('14 <= 0.00', -0.018395142944084186)","('8 <= 0.00', -0.018139455298138124)","('47 <= 0.00', 0.017171858891600025)","('35 <= 0.00', 0.01626806462933044)","('24 <= 0.00', 0.015281731074420922)","('21 <= 0.00', 0.014612792711332506)","('68 <= 0.00', -0.014188141651223741)"
"('8 <= 0.00', 0.025491477886126882)","('57 <= 0.00', -0.022494339113136735)","('2 <= 0.00', 0.020462243395324004)","('32 <= 0.00', -0.019560375553092386)","('9 <= 0.00', 0.01849711669320901)","('29 <= 0.00', 0.018248106205197703)","('25 <= 0.00', -0.017388163855738693)","('58 <= 0.00', 0.01664666505921702)","('63 <= 0.00', 0.014073520649575906)","('39 <= 0.00', 0.01184826538121288)"
"('18 > 0.00', 0.031513910209656895)","('24 > 0.00', -0.025036133588002232)","('52 > 0.00', -0.017108472526806532)","('51 > 0.00', -0.01608656518899388)","('33 > 0.00', -0.01528296383518195)","('5 > 0.00', 0.015239755104958735)","('58 > 0.00', -0.015161698648353978)","('16 > 0.00', -0.01407510016180021)","('19 > 0.00', -0.01307314867137034)","('29 > 0.00', 0.010501224439508152)"
"('11 <= 0.00', -0.02330660462620317)","('36 <= 0.00', 0.020948945101828587)","('13 <= 0.00', 0.01922256737055719)","('61 <= 0.00', 0.016737038480867213)","('99 <= 50.50', 0.01524214773554989)","('34 <= 0.00', 0.01469614408875699)","('7.00 < 91 <= 291.25', 0.01456891644032147)","('97 <= 33.50', 0.013978154096638907)","('19 <= 0.00', 0.013919743422210806)","('30 <= 0.00', -0.012943564302569254)"
"('1 <= 0.00', 0.03018364059141119)","('13 <= 0.00', 0.02130548814081699)","('58 <= 0.00', -0.01857488584062855)","('17 <= 0.00', -0.01758258640833656)","('19 <= 0.00', 0.015784296913412002)","('44 <= 0.00', -0.015634269662429097)","('36 <= 0.00', -0.014463558984993598)","('59 <= 0.00', -0.014061445328791245)","('7 <= 0.00', 0.014012991543566798)","('27 <= 0.00', -0.013220071597131823)"
